# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d09-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d09-x01-y01
XLabel=$\ln (1/z)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) \ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d09-x01-y01
RatioPlot=1
Title=Vertical slice, $2.00 < \ln (R/\Delta R) < 2.33$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	3.786470e-01	5.362203e-02	5.363217e-02
9.704060e-01	1.247660e+00	3.461510e-01	4.464501e-02	4.468456e-02
1.247660e+00	1.524920e+00	3.410350e-01	3.929111e-02	3.945643e-02
1.524920e+00	1.802180e+00	3.550440e-01	3.104425e-02	3.122338e-02
1.802180e+00	2.079440e+00	3.803040e-01	3.113052e-02	3.145950e-02
2.079440e+00	2.356700e+00	4.139180e-01	3.295979e-02	3.336306e-02
2.356700e+00	2.633960e+00	4.506460e-01	3.258275e-02	3.303269e-02
2.633960e+00	2.911220e+00	4.838070e-01	4.243052e-02	4.256322e-02
2.911220e+00	3.188480e+00	5.077260e-01	4.029222e-02	4.034890e-02
3.188480e+00	3.465740e+00	5.166980e-01	4.665067e-02	4.676188e-02
3.465740e+00	3.742990e+00	5.016900e-01	4.005938e-02	4.039797e-02
3.742990e+00	4.020250e+00	4.610950e-01	3.881543e-02	3.905146e-02
4.020250e+00	4.297510e+00	3.995910e-01	3.333426e-02	3.354815e-02
4.297510e+00	4.574770e+00	3.249310e-01	2.529116e-02	2.545306e-02
4.574770e+00	4.852030e+00	2.461740e-01	1.815716e-02	1.827895e-02
4.852030e+00	5.129290e+00	1.745500e-01	1.319620e-02	1.329484e-02
5.129290e+00	5.406550e+00	1.174240e-01	1.183259e-02	1.190709e-02
5.406550e+00	5.683810e+00	7.606750e-02	1.047197e-02	1.049616e-02
5.683810e+00	5.961070e+00	4.773400e-02	8.235065e-03	8.248086e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d09-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1790256/d09-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

