# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d41-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d41-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d41-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d41-x01-y01
Title=Aplanarity for $n^{\mathrm{jet}} = 3$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d41-x01-y01
RatioPlot=1
LogY=1
XLabel=$A$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dA$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d41-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d41-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	2.075030e+01	1.823923e-01	1.813261e-01
1.000000e-02	2.000000e-02	6.663080e+00	6.258855e-02	6.132802e-02
2.000000e-02	3.000000e-02	3.962740e+00	3.942550e-02	3.874795e-02
3.000000e-02	4.000000e-02	2.605630e+00	2.711841e-02	2.667264e-02
4.000000e-02	5.000000e-02	1.824460e+00	1.967509e-02	1.936336e-02
5.000000e-02	6.000000e-02	1.317980e+00	1.551536e-02	1.530486e-02
6.000000e-02	7.000000e-02	9.584060e-01	1.157855e-02	1.142860e-02
7.000000e-02	8.000000e-02	7.007920e-01	9.043967e-03	8.942830e-03
8.000000e-02	9.000000e-02	5.033460e-01	6.756234e-03	6.689105e-03
9.000000e-02	1.000000e-01	3.660450e-01	5.286857e-03	5.244728e-03
1.000000e-01	1.100000e-01	2.795620e-01	4.213879e-03	4.186606e-03
1.100000e-01	1.200000e-01	2.078840e-01	3.824868e-03	3.811277e-03
1.200000e-01	1.400000e-01	1.374520e-01	2.529889e-03	2.537444e-03
1.400000e-01	1.600000e-01	8.354530e-02	1.594597e-03	1.600766e-03
1.600000e-01	1.800000e-01	5.306360e-02	1.164106e-03	1.168541e-03
1.800000e-01	2.000000e-01	3.358120e-02	8.552235e-04	8.582266e-04
2.000000e-01	2.200000e-01	1.907530e-02	6.606890e-04	6.621949e-04
2.200000e-01	2.400000e-01	1.243870e-02	4.741472e-04	4.751888e-04
2.400000e-01	2.600000e-01	7.889250e-03	3.911428e-04	3.917224e-04
2.600000e-01	2.800000e-01	4.617720e-03	2.990852e-04	2.993756e-04
2.800000e-01	3.100000e-01	2.598520e-03	1.883802e-04	1.884928e-04
3.100000e-01	4.000000e-01	6.436170e-04	6.491225e-05	6.492834e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d41-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d41-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

