# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d46-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d46-x01-y01
Title=Aplanarity for $n^{\mathrm{jet}} = 4$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d46-x01-y01
RatioPlot=1
LogY=1
XLabel=$A$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dA$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d46-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d46-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.078140e+00	7.611914e-02	7.729250e-02
1.000000e-02	2.000000e-02	2.649450e+00	6.882161e-02	6.917756e-02
2.000000e-02	3.000000e-02	2.032890e+00	5.371540e-02	5.398262e-02
3.000000e-02	4.000000e-02	1.524290e+00	4.101412e-02	4.121430e-02
4.000000e-02	5.000000e-02	1.169600e+00	3.139560e-02	3.155625e-02
5.000000e-02	6.000000e-02	8.926880e-01	2.472128e-02	2.484902e-02
6.000000e-02	7.000000e-02	6.887570e-01	1.908359e-02	1.919249e-02
7.000000e-02	8.000000e-02	5.066550e-01	1.491898e-02	1.500462e-02
8.000000e-02	9.000000e-02	3.724080e-01	1.145286e-02	1.152291e-02
9.000000e-02	1.000000e-01	2.777140e-01	8.852534e-03	8.912079e-03
1.000000e-01	1.100000e-01	2.115920e-01	6.788140e-03	6.841959e-03
1.100000e-01	1.200000e-01	1.694390e-01	5.948956e-03	5.996235e-03
1.200000e-01	1.400000e-01	1.161450e-01	4.472759e-03	4.542675e-03
1.400000e-01	1.600000e-01	6.890550e-02	3.055616e-03	3.095193e-03
1.600000e-01	1.800000e-01	4.036640e-02	1.925524e-03	1.949064e-03
1.800000e-01	2.000000e-01	2.725600e-02	1.613282e-03	1.627213e-03
2.000000e-01	2.200000e-01	1.609330e-02	1.042416e-03	1.050531e-03
2.200000e-01	2.400000e-01	1.068700e-02	8.591890e-04	8.638485e-04
2.400000e-01	2.600000e-01	6.984920e-03	6.320136e-04	6.348962e-04
2.600000e-01	2.800000e-01	2.992920e-03	3.920293e-04	3.929326e-04
2.800000e-01	3.100000e-01	1.839300e-03	3.029874e-04	3.033899e-04
3.100000e-01	4.000000e-01	5.050080e-04	9.716017e-05	9.710259e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d46-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2020_I1808726/d46-x01-y01
ScaledBy=0.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

