# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d18-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d18-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d18-x01-y01
Title=Inclusive jets, $600 < p_{\textrm{T}}^{\textrm{jet}} < 700$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d18-x01-y01 //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d18-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d18-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d18-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	1.219980e-02	3.956215e-03	3.955598e-03
3.500000e+00	7.500000e+00	1.325430e-01	3.847615e-02	3.848367e-02
7.500000e+00	1.150000e+01	3.518970e-01	3.541547e-02	3.543901e-02
1.150000e+01	1.550000e+01	3.983810e-01	1.060454e-02	1.065074e-02
1.550000e+01	1.950000e+01	3.580450e-01	2.135093e-02	2.135107e-02
1.950000e+01	2.350000e+01	2.871910e-01	1.603997e-02	1.603739e-02
2.350000e+01	2.750000e+01	2.006030e-01	1.001563e-02	9.997555e-03
2.750000e+01	3.150000e+01	1.251930e-01	7.059944e-03	7.015845e-03
3.150000e+01	3.550000e+01	6.999890e-02	5.095116e-03	5.072626e-03
3.550000e+01	3.950000e+01	3.497510e-02	3.427961e-03	3.412590e-03
3.950000e+01	4.350000e+01	1.614380e-02	2.130893e-03	2.114766e-03
4.350000e+01	4.750000e+01	6.961790e-03	1.153159e-03	1.150445e-03
4.750000e+01	5.150000e+01	2.848560e-03	5.330801e-04	5.357342e-04
5.150000e+01	5.550000e+01	1.250100e-03	2.285475e-04	2.306850e-04
5.550000e+01	5.950000e+01	6.237620e-04	1.128254e-04	1.130692e-04
5.950000e+01	6.350000e+01	1.433790e-03	3.416542e-04	3.398991e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d18-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/pwpy8_1.yoda/ATLAS_2019_I1740909/d18-x01-y01
ScaledBy=1.00000000000000000e+00
Title=pwpy8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+01	3.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+01	3.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.550000e+01	3.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+01	4.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	5.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

